"1","DISTRITO CAPITAL"
"2","AMAZONAS"
"3","ANZOATEGUI"
"4","APURE"
"5","ARAGUA"
"6","BARINAS"
"7","MIRANDA"
"8","CARABOBO"
"9","COJEDES"
"10","DELTA AMACURO"
"11","FALCON"
"12","GUARICO"
"13","LARA"
"14","MERIDA"
"15","BOLIVAR"
"16","MONAGAS"
"17","NUEVA ESPARTA"
"18","PORTUGUESA"
"19","SUCRE"
"20","TACHIRA"
"21","TRUJILLO"
"22","YARACUY"
"23","ZULIA"
"24","VARGAS"
"25","D. FEDERALES"
